,,,,,,,,,
,,,,,,37,m,136,suburban
,,,,,,20,m,41,suburban
,,,,,,54,f,50,rural
,,,,,,26,m,105,rural
,,,,,,35,m,76,suburban
,,,,,,46,m,97,urban
,,,,,,31,m,148,urban
,,,,,,50,m,74,urban
,,,,,,21,m,50,suburban
,,,,,,29,m,101,urban
,,,,,,29,m,97,suburban
,,,,,,27,m,74,suburban
,,,,,,54,f,68,urban
,,,,,,30,f,61,suburban
,,,,,,25,m,103,urban
,,,,,,31,f,57,urban
,,,,,,42,m,104,rural
,,,,,,37,f,124,urban
,,,,,,22,m,59,urban
,,,,,,16,f,77,suburban
,,,,,,15,m,81,urban
,,,,,,20,m,126,suburban
,,,,,,26,m,70,urban
,,,,,,53,m,148,suburban
,,,,,,23,m,62,suburban
,,,,,,53,m,104,rural
,,,,,,29,m,126,urban
,,,,,,31,m,29,suburban
,,,,,,33,m,99,suburban
,,,,,,40,m,58,urban
,,,,,,16,m,39,urban
,,,,,,55,m,55,rural
,,,,,,41,m,63,urban
,,,,,,14,m,71,urban
,,,,,,23,m,94,rural
,,,,,,15,m,154,suburban
,,,,,,20,f,106,suburban
,,,,,,24,f,57,rural
,,,,,,45,m,119,rural
,,,,,,19,f,68,rural
,,,,,,27,m,102,suburban
,,,,,,14,m,72,urban
,,,,,,47,m,192,suburban
,,,,,,26,m,66,suburban
,,,,,,18,f,57,suburban
,,,,,,17,m,53,urban
,,,,,,17,m,70,urban
,,,,,,27,m,64,suburban
,,,,,,13,m,58,urban
,,,,,,31,m,114,urban
,,,,,,28,m,109,suburban
,,,,,,15,m,90,rural
,,,,,,16,m,80,suburban
,,,,,,35,m,86,urban
,,,,,,17,m,110,urban
,,,,,,38,m,72,suburban
,,,,,,40,m,128,urban
,,,,,,27,m,78,urban
,,,,,,42,m,101,urban
,,,,,,68,m,142,rural
,,,,,,34,f,41,rural
,,,,,,42,m,85,suburban
,,,,,,29,m,45,suburban
,,,,,,22,m,109,urban
,,,,,,39,m,63,rural
,,,,,,21,m,118,suburban
,,,,,,34,m,74,suburban
,,,,,,42,m,68,urban
,,,,,,25,f,46,suburban
,,,,,,31,m,106,rural
,,,,,,26,m,93,suburban
,,,,,,44,m,145,suburban
,,,,,,17,m,79,suburban
,,,,,,40,m,89,urban
,,,,,,20,m,67,suburban
,,,,,,22,f,58,suburban
,,,,,,41,f,162,suburban
,,,,,,37,m,77,suburban
,,,,,,29,m,70,rural
,,,,,,47,m,63,suburban
,,,,,,21,m,129,urban
,,,,,,83,f,46,urban
,,,,,,21,m,35,urban
,,,,,,23,m,68,urban
,,,,,,100,m,68,urban
,,,,,,18,f,55,urban
,,,,,,19,f,66,suburban
,,,,,,35,m,47,suburban
,,,,,,71,m,77,suburban
,,,,,,30,m,120,suburban
,,,,,,18,m,80,suburban
,,,,,,25,f,116,suburban
,,,,,,24,m,87,urban
,,,,,,16,m,88,urban
,,,,,,19,m,84,suburban
,,,,,,50,m,75,urban
,,,,,,26,m,79,suburban
,,,,,,55,m,69,urban
,,,,,,37,f,54,suburban
,,,,,,23,f,112,rural
,,,,,,88,m,173,suburban
,,,,,,33,m,70,suburban
,,,,,,42,m,101,urban
,,,,,,43,m,62,rural
,,,,,,41,m,59,urban
,,,,,,48,m,121,urban
,,,,,,26,m,112,suburban
,,,,,,32,m,55,rural
,,,,,,27,m,63,urban
,,,,,,20,m,61,suburban
,,,,,,25,f,240,urban
,,,,,,74,f,124,suburban
,,,,,,55,f,76,urban
,,,,,,45,f,92,rural
,,,,,,51,m,88,urban
,,,,,,42,m,73,suburban
,,,,,,44,m,50,rural
,,,,,,13,m,53,suburban
,,,,,,25,f,68,suburban
,,,,,,38,m,91,suburban
,,,,,,30,f,79,urban
,,,,,,65,m,60,suburban
,,,,,,16,m,43,suburban
,,,,,,33,m,115,urban
,,,,,,64,f,83,suburban
,,,,,,45,m,69,suburban
,,,,,,41,f,123,urban
,,,,,,57,m,72,urban
,,,,,,22,m,149,suburban
,,,,,,17,m,65,rural
,,,,,,32,m,91,urban
,,,,,,31,m,95,urban
,,,,,,28,m,116,urban
,,,,,,115,m,61,rural
,,,,,,34,m,58,suburban
,,,,,,21,m,54,suburban
,,,,,,72,m,133,urban
,,,,,,32,m,68,urban
,,,,,,25,m,74,urban
,,,,,,50,m,74,suburban
,,,,,,28,f,78,rural
,,,,,,39,m,68,urban
,,,,,,40,m,39,suburban
,,,,,,25,m,74,suburban
,,,,,,39,m,43,urban
,,,,,,34,m,153,suburban
,,,,,,38,m,53,suburban
,,,,,,30,f,123,suburban
,,,,,,30,f,120,urban
,,,,,,37,f,86,suburban
,,,,,,39,m,128,suburban
,,,,,,15,f,113,urban
,,,,,,40,m,87,suburban
,,,,,,26,m,77,rural
,,,,,,39,m,88,rural
,,,,,,32,f,60,rural
,,,,,,20,m,47,urban
,,,,,,75,f,68,urban
,,,,,,44,f,128,rural
,,,,,,42,m,94,urban
,,,,,,41,m,63,suburban
,,,,,,32,f,73,urban
,,,,,,34,m,50,urban
,,,,,,17,m,62,suburban
,,,,,,20,m,58,urban
,,,,,,44,m,91,rural
,,,,,,43,m,124,urban
,,,,,,32,m,104,rural
,,,,,,39,m,56,rural
,,,,,,28,m,56,suburban
,,,,,,25,m,62,urban
,,,,,,45,m,67,urban
,,,,,,31,f,78,rural
,,,,,,28,m,81,suburban
,,,,,,35,m,83,suburban
,,,,,,24,m,63,suburban
,,,,,,32,m,134,urban
,,,,,,76,m,55,suburban
,,,,,,29,m,68,suburban
,,,,,,65,m,68,suburban
,,,,,,51,m,61,urban
,,,,,,13,m,139,urban
,,,,,,56,m,77,rural
,,,,,,13,m,44,suburban
,,,,,,20,f,68,rural
,,,,,,48,m,200,suburban
,,,,,,71,m,82,urban
,,,,,,56,m,85,suburban
,,,,,,21,f,130,suburban
,,,,,,27,m,103,suburban
,,,,,,18,m,98,rural
,,,,,,25,m,83,suburban
,,,,,,22,m,67,urban
,,,,,,37,f,95,urban
,,,,,,20,m,43,urban
,,,,,,18,m,92,suburban
,,,,,,42,m,133,rural
,,,,,,28,m,60,rural
,,,,,,31,f,83,suburban
,,,,,,20,m,119,urban
,,,,,,28,f,55,urban
,,,,,,15,f,103,suburban
,,,,,,44,m,63,suburban
,,,,,,60,f,85,suburban
,,,,,,16,m,87,urban
,,,,,,26,f,87,urban
,,,,,,69,f,137,urban
,,,,,,48,m,101,urban
,,,,,,24,m,88,urban
,,,,,,35,m,85,suburban
,,,,,,21,m,111,urban
,,,,,,17,f,62,suburban
,,,,,,22,m,82,urban
,,,,,,37,m,73,suburban
,,,,,,20,m,129,rural
,,,,,,32,f,31,suburban
,,,,,,36,f,87,urban
,,,,,,22,m,130,rural
,,,,,,11,m,122,rural
,,,,,,52,f,79,urban
,,,,,,49,m,74,urban
,,,,,,28,m,76,suburban
,,,,,,36,f,102,urban
,,,,,,21,m,124,suburban
,,,,,,19,m,53,urban
,,,,,,27,m,82,suburban
,,,,,,36,m,73,urban
,,,,,,29,m,153,urban
,,,,,,24,m,51,urban
,,,,,,20,f,96,rural
,,,,,,75,m,58,urban
,,,,,,12,m,83,urban
,,,,,,39,m,55,urban
,,,,,,50,f,71,urban
,,,,,,18,f,83,suburban
,,,,,,29,f,50,suburban
,,,,,,42,f,63,urban
,,,,,,28,m,72,urban
,,,,,,40,m,72,suburban
,,,,,,26,m,69,suburban
,,,,,,60,m,73,suburban
,,,,,,53,m,153,suburban
,,,,,,46,m,98,suburban
,,,,,,36,m,83,urban
,,,,,,40,m,46,urban
,,,,,,44,m,100,urban
,,,,,,26,f,65,rural
,,,,,,28,m,82,rural
,,,,,,15,m,80,suburban
,,,,,,30,m,124,suburban
,,,,,,30,m,92,rural
,,,,,,20,m,159,urban
,,,,,,34,m,103,suburban
,,,,,,22,m,143,urban
,,,,,,62,m,62,urban
,,,,,,24,m,52,suburban
,,,,,,37,m,120,urban
,,,,,,38,m,82,urban
,,,,,,36,m,124,suburban
,,,,,,20,f,102,suburban
,,,,,,43,m,136,suburban
,,,,,,74,m,59,rural
,,,,,,15,f,103,urban
,,,,,,37,m,106,suburban
,,,,,,22,m,70,suburban
,,,,,,46,m,63,urban
,,,,,,25,f,36,suburban
,,,,,,61,f,101,rural
,,,,,,19,f,115,suburban
,,,,,,23,f,137,suburban
,,,,,,36,f,54,urban
,,,,,,12,f,104,urban
,,,,,,31,f,72,urban
,,,,,,26,m,67,urban
,,,,,,49,f,77,urban
,,,,,,46,m,88,urban
,,,,,,42,f,110,suburban
,,,,,,19,f,62,suburban
,,,,,,49,m,53,suburban
,,,,,,33,m,53,suburban
,,,,,,29,m,127,suburban
,,,,,,27,m,92,suburban
,,,,,,51,m,45,urban
,,,,,,44,m,106,urban
,,,,,,26,m,101,suburban
,,,,,,27,m,84,urban
,,,,,,22,m,60,urban
,,,,,,57,f,102,urban
,,,,,,39,m,89,urban
,,,,,,30,m,65,urban
,,,,,,46,m,89,rural
,,,,,,43,m,112,rural
,,,,,,42,m,88,urban
,,,,,,29,m,106,suburban
,,,,,,32,m,107,urban
,,,,,,51,m,71,suburban
,,,,,,70,m,101,urban
,,,,,,69,m,136,urban
,,,,,,25,m,148,urban
,,,,,,22,m,95,urban
,,,,,,18,f,50,suburban
,,,,,,19,m,64,urban
,,,,,,37,m,44,urban
,,,,,,28,m,81,rural
,,,,,,23,m,69,rural
,,,,,,23,m,90,suburban
,,,,,,47,m,119,rural
,,,,,,23,m,106,urban
,,,,,,15,m,104,suburban
,,,,,,69,m,64,suburban
,,,,,,25,m,98,suburban
,,,,,,37,m,79,suburban
,,,,,,33,m,138,suburban
,,,,,,37,m,61,rural
,,,,,,24,m,143,suburban
,,,,,,57,m,78,urban
,,,,,,12,f,62,rural
,,,,,,42,m,39,rural
,,,,,,23,m,62,urban
,,,,,,23,m,117,suburban
,,,,,,23,m,52,suburban
,,,,,,38,m,53,suburban
,,,,,,41,m,88,urban
,,,,,,27,m,97,suburban
,,,,,,41,m,91,suburban
,,,,,,47,m,157,suburban
,,,,,,69,f,83,rural
,,,,,,57,f,64,urban
,,,,,,29,m,88,suburban
,,,,,,75,m,89,suburban
,,,,,,42,f,109,suburban
,,,,,,27,f,65,suburban
,,,,,,31,m,82,suburban
,,,,,,20,f,85,urban
,,,,,,24,m,57,suburban
,,,,,,31,m,116,rural
,,,,,,30,m,95,suburban
,,,,,,13,m,47,suburban
,,,,,,40,m,68,urban
,,,,,,38,m,189,urban
,,,,,,24,m,87,suburban
,,,,,,25,m,83,urban
,,,,,,51,m,76,suburban
,,,,,,32,m,107,urban
,,,,,,27,m,152,urban
,,,,,,44,m,120,suburban
,,,,,,35,m,150,suburban
,,,,,,45,m,138,suburban
,,,,,,30,m,104,suburban
,,,,,,26,m,70,suburban
,,,,,,44,m,46,suburban
,,,,,,22,m,124,suburban
,,,,,,39,m,58,urban
,,,,,,36,m,54,urban
,,,,,,18,m,69,urban
,,,,,,31,m,85,rural
,,,,,,34,m,105,urban
,,,,,,18,m,49,urban
,,,,,,22,m,92,urban
,,,,,,20,f,134,urban
,,,,,,75,m,76,urban
,,,,,,12,m,50,rural
,,,,,,24,m,40,suburban
,,,,,,35,m,57,urban
,,,,,,27,m,127,urban
,,,,,,76,m,70,suburban
,,,,,,33,m,93,rural
,,,,,,48,m,58,urban
,,,,,,21,m,42,suburban
,,,,,,20,m,48,urban
,,,,,,46,m,53,urban
,,,,,,21,m,74,urban
,,,,,,70,m,66,suburban
,,,,,,109,f,111,suburban
,,,,,,36,m,137,suburban
,,,,,,34,m,104,suburban
,,,,,,40,m,103,urban
,,,,,,38,m,89,urban
,,,,,,38,m,100,suburban
,,,,,,38,m,76,suburban
,,,,,,34,m,94,suburban
,,,,,,27,f,76,urban
,,,,,,31,f,72,suburban
,,,,,,22,f,82,suburban
,,,,,,22,f,72,suburban
,,,,,,39,f,83,suburban
,,,,,,23,m,88,urban
,,,,,,28,m,121,suburban
,,,,,,27,f,40,suburban
,,,,,,35,m,259,suburban
,,,,,,38,m,59,urban
,,,,,,26,m,66,suburban
,,,,,,34,m,80,suburban
,,,,,,31,f,70,suburban
,,,,,,32,m,73,suburban
,,,,,,27,m,74,suburban
,,,,,,33,m,150,suburban
,,,,,,54,f,65,suburban
,,,,,,32,m,89,suburban
,,,,,,30,m,87,rural
,,,,,,37,m,70,urban
,,,,,,50,m,55,suburban
,,,,,,18,m,112,urban
,,,,,,36,f,94,suburban
,,,,,,38,m,73,rural
,,,,,,25,f,105,urban
,,,,,,35,m,81,suburban
,,,,,,8,m,57,suburban
,,,,,,29,m,57,urban
,,,,,,35,m,106,rural
,,,,,,17,m,71,suburban
,,,,,,29,m,80,suburban
,,,,,,69,m,175,suburban
,,,,,,31,f,92,urban
,,,,,,37,m,77,urban
,,,,,,31,m,33,urban
,,,,,,62,m,98,suburban
,,,,,,64,m,61,suburban
,,,,,,29,m,68,suburban
,,,,,,41,m,56,suburban
,,,,,,31,m,84,suburban
,,,,,,59,m,139,suburban
,,,,,,15,m,77,rural
,,,,,,45,f,94,suburban
,,,,,,25,m,103,urban
,,,,,,42,m,74,rural
,,,,,,42,m,94,urban
,,,,,,17,m,59,rural
,,,,,,26,m,54,suburban
,,,,,,25,m,94,suburban
,,,,,,19,m,76,suburban
,,,,,,34,f,96,urban
,,,,,,31,m,109,urban
,,,,,,23,m,106,urban
,,,,,,24,m,156,suburban
,,,,,,40,m,63,urban
,,,,,,30,m,108,suburban
,,,,,,27,m,50,urban
,,,,,,32,m,80,suburban
,,,,,,12,m,119,rural
,,,,,,47,m,68,suburban
,,,,,,33,m,70,suburban
,,,,,,26,f,78,urban
,,,,,,35,m,59,suburban
,,,,,,23,m,62,urban
,,,,,,20,m,66,urban
,,,,,,35,m,82,suburban
,,,,,,22,m,131,urban
,,,,,,21,f,90,urban
,,,,,,20,m,51,suburban
,,,,,,51,f,70,urban
,,,,,,48,m,99,urban
,,,,,,33,m,55,urban
,,,,,,113,m,203,suburban
,,,,,,27,m,86,suburban
,,,,,,26,f,107,rural
,,,,,,27,m,73,suburban
,,,,,,32,m,50,urban
,,,,,,25,m,84,urban
,,,,,,38,m,58,suburban
,,,,,,32,m,60,urban
,,,,,,24,m,62,rural
,,,,,,23,m,92,urban
,,,,,,38,m,83,urban
,,,,,,20,m,70,urban
,,,,,,46,m,79,suburban
,,,,,,40,m,111,suburban
,,,,,,23,m,57,urban
,,,,,,37,m,131,urban
,,,,,,12,m,78,urban
,,,,,,42,m,134,suburban
,,,,,,34,m,76,suburban
,,,,,,53,m,92,urban
,,,,,,25,f,50,urban
,,,,,,22,m,57,suburban
,,,,,,37,f,105,suburban
,,,,,,31,m,95,suburban
,,,,,,38,f,112,urban
,,,,,,36,m,43,suburban
,,,,,,40,m,58,suburban
,,,,,,32,m,113,suburban
,,,,,,14,f,48,urban
,,,,,,40,m,70,suburban
,,,,,,48,m,46,urban
,,,,,,44,m,93,rural
,,,,,,29,m,81,urban
,,,,,,39,m,93,suburban
,,,,,,25,m,74,suburban
,,,,,,39,m,66,suburban
,,,,,,23,m,165,urban
,,,,,,32,f,137,suburban
,,,,,,19,f,106,urban
,,,,,,29,m,91,urban
,,,,,,54,m,39,urban
,,,,,,56,f,50,rural
,,,,,,65,f,57,suburban
,,,,,,46,m,88,urban
,,,,,,71,m,82,rural
,,,,,,31,m,70,suburban
,,,,,,15,m,65,rural
,,,,,,26,m,120,suburban
,,,,,,114,m,103,suburban
,,,,,,33,m,95,urban
,,,,,,25,m,77,suburban
,,,,,,28,m,74,urban
,,,,,,40,m,68,suburban
,,,,,,23,m,86,suburban
,,,,,,28,m,62,suburban
,,,,,,22,m,88,suburban
,,,,,,39,m,84,rural
,,,,,,46,m,52,suburban
,,,,,,57,m,45,urban
,,,,,,21,m,128,urban